Easting,Northing,z,SVF_hemi
705399.985,2715300.18,2459.699707,0.032
705404.985,2715300.18,2460.167236,0.031
705409.985,2715300.18,2461.291992,0.029
705414.985,2715300.18,2462.63623,0.036
705419.985,2715300.18,2462.545898,0.036
705424.985,2715300.18,2462.516602,0.03
705429.985,2715300.18,2463.187744,0.026
705434.985,2715300.18,2463.153076,0.022
705439.985,2715300.18,2463.567139,0.019
705444.985,2715300.18,2464.087158,0.024
705449.985,2715300.18,2464.58374,0.03
705454.985,2715300.18,2465.798828,0.031
705459.985,2715300.18,2466.289795,0.025
705464.985,2715300.18,2467.117432,0.021
705469.985,2715300.18,2468.377441,0.02
705474.985,2715300.18,2469.244873,0.015
705479.985,2715300.18,2470.710938,0.013
705484.985,2715300.18,2471.592773,0.01
705489.985,2715300.18,2473.231689,0.008
705494.985,2715300.18,2473.969727,0.005
705399.985,2715305.18,2459.35083,0.033
705404.985,2715305.18,2460.56665,0.037
705409.985,2715305.18,2461.059814,0.043
705414.985,2715305.18,2462.219238,0.059
705419.985,2715305.18,2462.671631,0.062
705424.985,2715305.18,2463.275879,0.048
705429.985,2715305.18,2462.603516,0.039
705434.985,2715305.18,2463.304932,0.023
705439.985,2715305.18,2462.742188,0.02
705444.985,2715305.18,2463.640381,0.024
705449.985,2715305.18,2463.971191,0.032
705454.985,2715305.18,2464.849365,0.028
705459.985,2715305.18,2465.287598,0.023
705464.985,2715305.18,2466.711914,0.017
705469.985,2715305.18,2468.027588,0.013
705474.985,2715305.18,2468.22583,0.014
705479.985,2715305.18,2469.726563,0.013
705484.985,2715305.18,2470.562988,0.009
705489.985,2715305.18,2471.943604,0.007
705494.985,2715305.18,2472.85376,0.007
705399.985,2715310.18,2459.66333,0.031
705404.985,2715310.18,2460.216064,0.037
705409.985,2715310.18,2461.287842,0.057
705414.985,2715310.18,2462.372559,0.082
705419.985,2715310.18,2462.988037,0.091
705424.985,2715310.18,2463.142578,0.062
705429.985,2715310.18,2463.189209,0.041
705434.985,2715310.18,2463.212891,0.027
705439.985,2715310.18,2462.836914,0.02
705444.985,2715310.18,2463.076904,0.025
705449.985,2715310.18,2463.979248,0.033
705454.985,2715310.18,2463.777588,0.028
